Ntime,Time,Close Price
20100930,734411,9360
20101001,734412,9390
20101004,734415,9350
20101005,734416,9520
20101006,734417,9700
20101007,734418,9690
20101008,734419,9580
20101012,734423,9400
20101013,734424,9410
20101014,734425,9570
20101015,734426,9520
20101018,734429,9490
20101019,734430,9530
20101020,734431,9380
20101021,734432,9370
20101022,734433,9420
20101025,734436,9430
20101026,734437,9360
20101027,734438,9410
20101028,734439,9370
20101029,734440,9190
20101101,734443,9160
20101102,734444,9170
20101104,734446,9360
20101105,734447,9650
20101108,734450,9720
20101109,734451,9690
20101110,734452,9810
20101111,734453,9860
20101112,734454,9740
20101115,734457,9820
20101116,734458,9780
20101117,734459,9830
20101118,734460,9980
20101119,734461,10050
20101122,734464,10120
20101124,734466,10040
20101125,734467,10080
20101126,734468,10060
20101129,734471,10120
20101130,734472,9950
20101201,734473,10000
20101202,734474,10160
20101203,734475,10190
20101206,734478,10180
20101207,734479,10150
20101208,734480,10240
20101209,734481,10270
20101210,734482,10210
20101213,734485,10280
20101214,734486,10310
20101215,734487,10300
20101216,734488,10300
20101217,734489,10290
20101220,734492,10230
20101221,734493,10350
20101222,734494,10330
20101224,734496,10280
20101227,734499,10350
20101228,734500,10320
20101229,734501,10360
20101230,734502,10210
20110104,734507,10380
20110105,734508,10380
20110106,734509,10510
20110107,734510,10550
20110111,734514,10510
20110112,734515,10520
20110113,734516,10560
20110114,734517,10500
20110117,734520,10500
20110118,734521,10520
20110119,734522,10570
20110120,734523,10440
20110121,734524,10280
20110124,734527,10340
20110125,734528,10470
20110126,734529,10420
20110127,734530,10480
20110128,734531,10370
20110131,734534,10230
20110201,734535,10270
20110202,734536,10460
20110203,734537,10440
20110204,734538,10530
20110207,734541,10590
20110208,734542,10630
20110209,734543,10620
20110210,734544,10620
20110214,734548,10730
20110215,734549,10740
20110216,734550,10800
20110217,734551,10840
20110218,734552,10850
20110221,734555,10870
20110222,734556,10660
20110223,734557,10570
20110224,734558,10470
20110225,734559,10510
20110228,734562,10630
20110301,734563,10750
20110302,734564,10490
20110303,734565,10590
20110304,734566,10700
20110307,734569,10530
20110308,734570,10520
20110309,734571,10600
20110310,734572,10370
20110311,734573,10170
20110314,734576,9460
20110315,734577,8640
20110316,734578,9000
20110317,734579,8930
20110318,734580,9130
20110322,734584,9530
20110323,734585,9380
20110324,734586,9350
20110325,734587,9450
20110328,734590,9410
20110329,734591,9480
20110330,734592,9710
20110331,734593,9760
20110401,734594,9700
20110404,734597,9710
20110405,734598,9630
20110406,734599,9610
20110407,734600,9590
20110408,734601,9770
20110411,734604,9720
20110412,734605,9560
20110413,734606,9640
20110414,734607,9650
20110415,734608,9560
20110418,734611,9560
20110419,734612,9440
20110420,734613,9610
20110421,734614,9680
20110422,734615,9680
20110425,734618,9680
20110426,734619,9550
20110427,734620,9710
20110428,734621,9870
20110502,734625,10030
20110506,734629,9850
20110509,734632,9810
20110510,734633,9820
20110511,734634,9860
20110512,734635,9700
20110513,734636,9670
20110516,734639,9560
20110517,734640,9580
20110518,734641,9670
20110519,734642,9630
20110520,734643,9620
20110523,734646,9460
20110524,734647,9480
20110525,734648,9410
20110526,734649,9550
20110527,734650,9530
20110530,734653,9520
20110531,734654,9690
20110601,734655,9710
20110602,734656,9550
20110603,734657,9520
20110606,734660,9400
20110607,734661,9450
20110608,734662,9460
20110609,734663,9480
20110610,734664,9500
20110613,734667,9450
20110614,734668,9530
20110615,734669,9580
20110616,734670,9410
20110617,734671,9340
20110620,734674,9350
20110621,734675,9450
20110622,734676,9610
20110623,734677,9600
20110624,734678,9670
20110627,734681,9590
20110628,734682,9650
20110629,734683,9790
20110630,734684,9820
20110701,734685,9850
20110704,734688,9960
20110705,734689,9960
20110706,734690,10080
20110707,734691,10080
20110708,734692,10160
20110711,734695,10080
20110712,734696,9920
20110713,734697,9950
20110714,734698,9930
20110715,734699,9970
20110719,734703,9890
20110720,734704,10020
20110721,734705,10010
20110722,734706,10140
20110725,734709,10050
20110726,734710,10110
20110727,734711,10040
20110728,734712,9900
20110729,734713,9830
20110801,734716,9970
20110802,734717,9830
20110803,734718,9650
20110804,734719,9670
20110805,734720,9280
20110808,734723,9120
20110809,734724,9000
20110810,734725,9020
20110811,734726,8980
20110812,734727,8960
20110815,734730,9060
20110816,734731,9070
20110817,734732,9040
20110818,734733,8940
20110819,734734,8710
20110822,734737,8620
20110823,734738,8740
20110824,734739,8660
20110825,734740,8780
20110826,734741,8790
20110829,734744,8870
20110830,734745,8950
20110831,734746,8960
20110901,734747,9060
20110902,734748,8940
20110905,734751,8770
20110906,734752,8610
20110907,734753,8780
20110908,734754,8730
20110909,734755,8650
20110912,734758,8480
20110913,734759,8570
20110914,734760,8460
20110915,734761,8600
20110916,734762,8790
20110920,734766,8650
20110921,734767,8680
20110922,734768,8490
20110926,734772,8290
20110927,734773,8580
20110928,734774,8640
20110929,734775,8710
20110930,734776,8700
20111003,734779,8530
20111004,734780,8450
20111005,734781,8380
20111006,734782,8530
20111007,734783,8590
20111011,734787,8770
20111012,734788,8740
20111013,734789,8800
20111014,734790,8770
20111017,734793,8900
20111018,734794,8750
20111019,734795,8790
20111020,734796,8670
20111021,734797,8680
20111024,734800,8840
20111025,734801,8770
20111026,734802,8730
20111027,734803,8920
20111028,734804,9050
20111031,734807,8960
20111101,734808,8850
20111102,734809,8690
20111104,734811,8800
20111107,734814,8760
20111108,734815,8670
20111109,734816,8730
20111110,734817,8490
20111111,734818,8500
20111114,734821,8620
20111115,734822,8560
20111116,734823,8450
20111117,734824,8470
20111118,734825,8410
20111121,734828,8360
20111122,734829,8320
20111124,734831,8160
20111125,734832,8180
20111128,734835,8310
20111129,734836,8480
20111130,734837,8420
20111201,734838,8600
20111202,734839,8660
20111205,734842,8680
20111206,734843,8580
20111207,734844,8680
20111208,734845,8680
20111209,734846,8520
20111212,734849,8620
20111213,734850,8550
20111214,734851,8500
20111215,734852,8370
20111216,734853,8400
20111219,734856,8300
20111220,734857,8330
20111221,734858,8440
20111222,734859,8370
20111226,734863,8450
20111227,734864,8450
20111228,734865,8420
20111229,734866,8390
20111230,734867,8450
20120104,734872,8530
20120105,734873,8500
20120106,734874,8390
20120110,734878,8420
20120111,734879,8430
20120112,734880,8380
20120113,734881,8500
20120116,734884,8380
20120117,734885,8470
20120118,734886,8550
20120119,734887,8650
20120120,734888,8750
20120123,734891,8770
20120124,734892,8790
20120125,734893,8870
20120126,734894,8850
20120127,734895,8830
20120130,734898,8800
20120131,734899,8810
20120201,734900,8790
20120202,734901,8870
20120203,734902,8840
20120206,734905,8900
20120207,734906,8900
20120208,734907,8990
20120209,734908,9010
20120210,734909,8970
20120213,734912,9000
20120214,734913,9060
20120215,734914,9270
20120216,734915,9230
20120217,734916,9400
20120220,734919,9470
20120221,734920,9490
20120222,734921,9570
20120223,734922,9570
20120224,734923,9640
20120227,734926,9620
20120228,734927,9760
20120229,734928,9710
20120301,734929,9710
20120302,734930,9760
20120305,734933,9680
20120306,734934,9650
20120307,734935,9580
20120308,734936,9760
20120309,734937,9840
20120312,734940,9800
20120313,734941,9840
20120314,734942,10010
20120315,734943,10060
20120316,734944,10060
20120319,734947,10080
20120321,734949,10020
20120322,734950,10040
20120323,734951,9930
20120326,734954,9960
20120327,734955,10180
20120328,734956,10180
20120329,734957,10110
20120330,734958,10090
20120402,734961,10110
20120403,734962,10050
20120404,734963,9820
20120405,734964,9790
20120406,734965,9680
20120409,734968,9550
20120410,734969,9540
20120411,734970,9440
20120412,734971,9540
20120413,734972,9640
20120416,734975,9470
20120417,734976,9450
20120418,734977,9660
20120419,734978,9600
20120420,734979,9560
20120423,734982,9550
20120424,734983,9480
20120425,734984,9550
20120426,734985,9560
20120427,734986,9500
20120501,734990,9340
20120502,734991,9360
20120507,734996,9110
20120508,734997,9180
20120509,734998,9040
20120510,734999,9030
20120511,735000,8950
20120514,735003,8970
20120515,735004,8910
20120516,735005,8750
20120517,735006,8850
20120518,735007,8600
20120521,735010,8620
20120522,735011,8730
20120523,735012,8570
20120524,735013,8560
20120525,735014,8580
20120528,735017,8600
20120529,735018,8650
20120530,735019,8610
20120531,735020,8530
20120601,735021,8420
20120604,735024,8290
20120605,735025,8410
20120606,735026,8530
20120607,735027,8610
20120608,735028,8430
20120611,735031,8610
20120612,735032,8530
20120613,735033,8590
20120614,735034,8570
20120615,735035,8560
20120618,735038,8730
20120619,735039,8650
20120620,735040,8740
20120621,735041,8820
20120622,735042,8780
20120625,735045,8720
20120626,735046,8690
20120627,735047,8740
20120628,735048,8870
20120629,735049,9010
20120702,735052,9020
20120703,735053,9070
20120704,735054,9090
20120705,735055,9090
20120706,735056,9020
20120709,735059,8880
20120710,735060,8860
20120711,735061,8850
20120712,735062,8700
20120713,735063,8700
20120717,735067,8750
20120718,735068,8740
20120719,735069,8790
20120720,735070,8670
20120723,735073,8510
20120724,735074,8470
20120725,735075,8350
20120726,735076,8440
20120727,735077,8560
20120730,735080,8610
20120731,735081,8680
20120801,735082,8630
20120802,735083,8630
20120803,735084,8540
20120806,735087,8730
20120807,735088,8800
20120808,735089,8870
20120809,735090,8970
20120810,735091,8870
20120813,735094,8870
20120814,735095,8930
20120815,735096,8920
20120816,735097,9080
20120817,735098,9170
20120820,735101,9190
20120821,735102,9150
20120822,735103,9110
20120823,735104,9180
20120824,735105,9060
20120827,735108,9080
20120828,735109,9050
20120829,735110,9080
20120830,735111,8970
20120831,735112,8820
20120903,735115,8770
20120904,735116,8780
20120905,735117,8670
20120906,735118,8690
20120907,735119,8880
20120910,735122,8870
20120911,735123,8800
20120912,735124,8950
20120913,735125,8990
20120914,735126,9080
20120918,735130,9070
20120919,735131,9170
20120920,735132,8990
20120921,735133,9060
20120924,735136,8990
20120925,735137,9010
20120926,735138,8920
20120927,735139,8960
20120928,735140,8880
20121001,735143,8780
20121002,735144,8780
20121003,735145,8750
20121004,735146,8840
20121005,735147,8870
20121009,735151,8770
20121010,735152,8590
20121011,735153,8550
20121012,735154,8560
20121015,735157,8590
20121016,735158,8710
20121017,735159,8810
20121018,735160,8980
20121019,735161,8990
20121022,735164,9020
20121023,735165,9000
20121024,735166,8970
20121025,735167,9070
20121026,735168,8930
20121029,735171,8920
20121030,735172,8850
20121031,735173,8920
20121101,735174,8950
20121102,735175,9060
20121105,735178,9020
20121106,735179,8980
20121107,735180,8960
20121108,735181,8840
20121109,735182,8760
20121112,735185,8690
20121113,735186,8670
20121114,735187,8670
20121115,735188,8820
20121116,735189,9010
20121119,735192,9130
20121120,735193,9120
20121121,735194,9220
20121122,735195,9360
20121126,735199,9400
20121127,735200,9430
20121128,735201,9300
20121129,735202,9410
20121130,735203,9450
20121203,735206,9460
20121204,735207,9430
20121205,735208,9480
20121206,735209,9540
20121207,735210,9560
20121210,735213,9540
20121211,735214,9520
20121212,735215,9580
20121213,735216,9760
20121214,735217,9760
20121217,735220,9820
20121218,735221,9940
20121219,735222,10180
20121220,735223,10030
20121221,735224,9960
20121225,735228,10070
20121226,735229,10240
20121227,735230,10370
20121228,735231,10390
20130104,735238,10680
20130107,735241,10620
20130108,735242,10480
20130109,735243,10570
20130110,735244,10660
20130111,735245,10830
20130115,735249,10890
20130116,735250,10580
20130117,735251,10630
20130118,735252,10920
20130121,735255,10710
20130122,735256,10700
20130123,735257,10470
20130124,735258,10630
20130125,735259,10930
20130128,735262,10810
20130129,735263,10890
20130130,735264,11100
20130131,735265,11110
20130201,735266,11170
20130204,735269,11270
20130205,735270,11080
20130206,735271,11430
20130207,735272,11390
20130208,735273,11170
20130212,735277,11370
20130213,735278,11260
20130214,735279,11330
20130215,735280,11170
20130218,735283,11410
20130219,735284,11370
20130220,735285,11440
20130221,735286,11320
20130222,735287,11410
20130225,735290,11650
20130226,735291,11410
20130227,735292,11260
20130228,735293,11500
20130301,735294,11570
20130304,735297,11650
20130305,735298,11690
20130306,735299,11930
20130307,735300,11970
20130308,735301,12220
20130311,735304,12290
20130312,735305,12260
20130313,735306,12200
20130314,735307,12330
20130315,735308,12490
20130318,735311,12170
20130319,735312,12420
20130321,735314,12570
20130322,735315,12320
20130325,735318,12510
20130326,735319,12370
20130327,735320,12520
20130328,735321,12400
20130329,735322,12400
20130401,735325,12180
20130402,735326,12030
20130403,735327,12360
20130404,735328,12720
20130405,735329,12810
20130408,735332,13210
20130409,735333,13190
20130410,735334,13290
20130411,735335,13490
20130412,735336,13500
20130415,735339,13340
20130416,735340,13310
20130417,735341,13400
20130418,735342,13270
20130419,735343,13370
20130422,735346,13560
20130423,735347,13540
20130424,735348,13830
20130425,735349,13920
20130426,735350,13950
20130430,735354,13880
20130501,735355,13800
20130502,735356,13710
20130507,735361,14160
20130508,735362,14260
20130509,735363,14230
20130510,735364,14660
20130513,735367,14820
20130514,735368,14800
20130515,735369,15090
20130516,735370,15070
20130517,735371,15190
20130520,735374,15390
20130521,735375,15400
20130522,735376,15670
20130523,735377,14590
20130524,735378,14610
20130527,735381,14030
20130528,735382,14360
20130529,735383,14200
20130530,735384,13610
20130531,735385,13700
20130603,735388,13240
20130604,735389,13650
20130605,735390,12940
20130606,735391,12820
20130607,735392,12680
20130610,735395,13620
20130611,735396,13380
20130612,735397,13280
20130613,735398,12450
20130614,735399,12770
20130617,735402,13060
20130618,735403,13000
20130619,735404,13260
20130620,735405,13030
20130621,735406,13370
20130624,735409,13010
20130625,735410,12940
20130626,735411,12780
20130627,735412,13270
20130628,735413,13680
20130701,735416,13870
20130702,735417,14130
20130703,735418,14020
20130704,735419,13990
20130705,735420,14340
20130708,735423,14100
20130709,735424,14460
20130710,735425,14430
20130711,735426,14470
20130712,735427,14470
20130716,735431,14600
20130717,735432,14600
20130718,735433,14800
20130719,735434,14650
20130722,735437,14690
20130723,735438,14780
20130724,735439,14730
20130725,735440,14520
20130726,735441,14130
20130729,735444,13600
20130730,735445,13890
20130731,735446,13600
20130801,735447,14050
20130802,735448,14480
20130805,735451,14230
20130806,735452,14400
20130807,735453,13860
20130808,735454,13620
20130809,735455,13670
20130812,735458,13510
20130813,735459,13850
20130814,735460,14010
20130815,735461,13790
20130816,735462,13670
20130819,735465,13770
20130820,735466,13410
20130821,735467,13400
20130822,735468,13350
20130823,735469,13700
20130826,735472,13650
20130827,735473,13540
20130828,735474,13360
20130829,735475,13460
20130830,735476,13350
20130902,735479,13570
20130903,735480,13990
20130904,735481,14100
20130905,735482,14000
20130906,735483,13850
20130909,735486,14220
20130910,735487,14400
20130911,735488,14440
20130912,735489,14330
20130913,735490,14320
20130917,735494,14280
20130918,735495,14430
20130919,735496,14680
20130920,735497,14680
20130924,735501,14680
20130925,735502,14560
20130926,735503,14830
20130927,735504,14740
20130930,735507,14460
20131001,735508,14510
20131002,735509,14190
20131003,735510,14140
20131004,735511,14040
20131007,735514,13860
20131008,735515,13930
20131009,735516,14070
